name,data_type,label,value,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10
fad_26,numeric,We can express feelings to each other.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_27,numeric,We have no clear expectations about toilet habits.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_28,numeric,We do not show our love to each other.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_29,numeric,We talk to people directly rather than through go-betweens.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_30,numeric,Each of us has particular duties and responsibilities.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_31,numeric,There are lots of bad feelings in the family.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_32,numeric,We have rules about hitting people.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_33,numeric,We get involved with each other only when something interests us.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_34,numeric,There's little time to explore personal interests.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_35,numeric,We often don't say what we mean.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_36,numeric,We feel accepted for what we are.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_37,numeric,We show interest in each other when we can get something out of it personally.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_38,numeric,We resolve most emotional upsets that come up.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_39,numeric,Tenderness takes second place to other things in our family.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_40,numeric,We discuss who is to do household jobs.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_41,numeric,Making decisions is a problem for our family.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_42,numeric,Our family shows interest in each other only when they can get something out of it.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_43,numeric,We are frank with each other.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_44,numeric,We don't hold to any rules or standards.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_45,numeric,"If people are asked to do something, they need reminding.",NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_46,numeric,We are able to make decisions about how to solve problems.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_47,numeric,"If the rules are broken, we don't know what to expect.",NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_48,numeric,Anything goes in our family.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_49,numeric,We express tenderness.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_50,numeric,We confront problems involving feelings.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_51,numeric,We don't get along well together.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_52,numeric,We don't talk to each other when we are angry.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_53,numeric,We are generally dissatisfied with the family duties assigned to us.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_54,numeric,"Even though we mean well, we intrude too much into each others lives.",NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_55,numeric,There are rules about dangerous situations.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_56,numeric,We confide in each other.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_57,numeric,We cry openly.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_58,numeric,We don't have reasonable transport.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_59,numeric,"When we don't like what someone has done, we tell them.",NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_60,numeric,We try to think of different ways to solve problems.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
mps_1,numeric,It is easy for me to become enthusiastic about things I am doing.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_2,numeric,I am quite effective at talking people into things.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_3,numeric,Some people say that I put my work ahead of too many other things.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_4,numeric,I have occasionally felt discouraged about something.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_5,numeric,I usually like to spend my free time with friends rather than alone.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_6,numeric,Often I get irritated at little annoyances.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_7,numeric,Many people try to push me around.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_8,numeric,Often when I get angry I am ready to hit someone.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_9,numeric,I like to stop and think things over before I do them.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_10,numeric,I am often nervous for no reason.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_11,numeric,I might enjoy riding in an open elevator to the top of a tall building under construction.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_12,numeric,I don't like to see religious authority overturned by so-called progress and logical reasoning.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_13,numeric,I can be deeply moved by a sunset.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_14,numeric,My table manners are not always perfect.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_15,numeric,I enjoy being in the spotlight.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_16,numeric,I set very high standards for myself in my work.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_17,numeric,"When I am unhappy about something,",NA,I tend to seek the company of a friend. ,I prefer to be alone. ,NA,NA,NA,NA,NA,NA,NA,NA
mps_18,numeric,My mood often goes up and down.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_19,numeric,I know that certain people would enjoy if I got hurt.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_20,numeric,"When someone hurts me, I try to get even.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_21,numeric,I am more likely to be fast and careless than to be slow and plodding.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_22,numeric,It might be fun and exciting to be in an earthquake.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_23,numeric,Strict discipline in the home would prevent much of the crime in our society.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_24,numeric,"When listening to organ music or other powerful music, I sometimes feel as if I am being lifted into the air.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_25,numeric,I have always been extremely courageous in facing difficult situations.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_26,numeric,I often feel happy and satisfied for no particular reason.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_27,numeric,I often keep working on a problem even if I am very tired.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_28,numeric,I am usually happier when I am alone.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_29,numeric,I suffer from nervousness.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_30,numeric,People often try to take advantage of me.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_31,numeric,I admit that I sometimes enjoy hurting someone physically.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_32,numeric,Basically I am a happy person.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_33,numeric,"I often prefer to ""play things by ear"" rather than to plan ahead.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_34,numeric,"Of these two situations, I would dislike more:",NA,Having a pilot announce that the plane has engine trouble and it may be necessary to make an emergency landing.,Working in the fields digging potatoes.,NA,NA,NA,NA,NA,NA,NA,NA
mps_35,numeric,The best way to achieve a peaceful world is to improve people's morals.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_36,numeric,Sometimes thoughts and images come to me without any effort on my part.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_37,numeric,At times I have been envious of someone.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_38,numeric,I live a very interesting life.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_39,numeric,People find me forceful.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_40,numeric,I am a warm person rather than cool and distant.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_41,numeric,I often find myself worrying about something.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_42,numeric,People often say mean things about me.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_43,numeric,I see nothing wrong with stepping on people's toes a little if it is to my advantage.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_44,numeric,When faced with a decision I usually take time to consider and weigh all possibilities.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_45,numeric,"I usually do not like to be a ""follower.""",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_46,numeric,I would enjoy trying to cross the ocean in a small but seaworthy sailboat.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_47,numeric,I am opposed to more censorship of books and movies because it would go against free speech.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_48,numeric,If I wish I can imagine (or daydream) some things so vividly that it's like watching a good movie or hearing a good story.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_49,numeric,My opinions are always completely reasonable.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_50,numeric,Every day I do some things that are fun.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_51,numeric,When I work with others I like to take charge.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_52,numeric,People say that I drive myself hard.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_53,numeric,I am too sensitive for my own good.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_54,numeric,"My ""friends"" have often betrayed me.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_55,numeric,I enjoy a good brawl.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_56,numeric,I am very level-headed and usually have both feet on the ground.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_57,numeric,Of these two situations I would dislike more:,NA,Having to walk around all day on a blistered foot,Sleeping out on a camping trip in an area where there are rattlesnakes.,NA,NA,NA,NA,NA,NA,NA,NA
mps_58,numeric,It is a pretty unfeeling person who does not feel love and gratitude toward her/his parents.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_59,numeric,Sometimes I can change noise into music by the way I listen to it.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_60,numeric,If I have a humiliating experience I get over it very quickly.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_61,numeric,I have at times eaten too much.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_62,numeric,I usually find ways to liven up my day.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_63,numeric,In most social situations I like to have someone else take the lead.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_64,numeric,I am not a terribly ambitious person.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_65,numeric,"I am more of a ""loner"" than most people.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_66,numeric,I would be more successful if people did not make things difficult for me.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_67,numeric,Sometimes I hit people who have done something to deserve it.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_68,numeric,I almost never do anything reckless.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_69,numeric,Of these two situations I would dislike more:,NA,Being out on a sailboat during a great storm at sea,Having to stay home every night for two weeks with a sick relative.,NA,NA,NA,NA,NA,NA,NA,NA
mps_70,numeric,I would prefer to see:,NA,Stricter observance of major religious holidays  ,"Greater acceptance of nontraditional families, like single-parent families",NA,NA,NA,NA,NA,NA,NA,NA
mps_71,numeric,Read the statement and decide which choice best de... - I can often somehow sense the presence of another person before I actually see or hear her/him,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_72,numeric,Read the statement and decide which choice best de... - I have always been completely fair to others.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_73,numeric,Read the statement and decide which choice best de... - People rarely try to take advantage of me.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_74,numeric,Read the statement and decide which choice best de... - Most mornings the day ahead looks bright to me.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_75,numeric,Read the statement and decide which choice best de... - I am very good at influencing people.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_76,numeric,Read the statement and decide which choice best de... - I enjoy putting in long hours.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_77,numeric,Read the statement and decide which choice best de... - For me one of the best experiences is the warm feeling of being in a group of good friends.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_78,numeric,Read the statement and decide which choice best de... - Occasionally I have strong feelings (like anxiety or anger) without really knowing why.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_79,numeric,Read the statement and decide which choice best de... - I would rather turn the other cheek than get even when someone treats me badly.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_80,numeric,Read the statement and decide which choice best de... - I often act on the spur of the moment.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_81,numeric,"Of these two situations, I would dislike more:",NA,"Being at the circus when two lions suddenly get loose down in the ring, ",Bringing my whole family to the circus and then not being able to get in because a clerk sold me tickets for the wrong night. ,NA,NA,NA,NA,NA,NA,NA,NA
mps_82,numeric,Higher standards of conduct are what this country needs most.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_83,numeric,The sound of a voice can be so fascinating to me that I can just go on listening to it.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_84,numeric,I have at times been angry with someone.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_85,numeric,Most days I have moments of real fun or joy.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_86,numeric,I often act without thinking.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_87,numeric,"When it is time to make decisions, others usually turn to me.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_88,numeric,I often keep working on a problem long after others would have given up.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_89,numeric,I prefer to work alone.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_90,numeric,Minor setbacks sometimes irritate me too much.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_91,numeric,People often just use me instead of treating me as a person.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_92,numeric,I don't like to start a project until I know exactly how to do it.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_93,numeric,Of these two situations I would dislike more:,NA,"Riding a long stretch of rapids in a canoe, ",Waiting for someone who's late. ,NA,NA,NA,NA,NA,NA,NA,NA
mps_94,numeric,I am disgusted by dirty language.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_95,numeric,Some music reminds me of pictures or changing patterns of color.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_96,numeric,I always tell the entire truth.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_97,numeric,I often feel sort of lucky for no special reason.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_98,numeric,I do not like to be the center of attention on social occasions.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_99,numeric,I work just hard enough to get by without overdoing it.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_100,numeric,I have few or no close friends.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_101,numeric,I sometimes get very upset and tense as I think of the day's events.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_102,numeric,Some people are against me for no good reason.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_103,numeric,I can't help but enjoy it when someone I dislike makes a fool of herself/himself.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_104,numeric,I seldom feel really happy,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_105,numeric,Of these two situations I would dislike more:,NA,"Being chosen as the ""target"" for a knife-throwing act,",Being sick to my stomach for 24 hours.  ,NA,NA,NA,NA,NA,NA,NA,NA
mps_106,numeric,No decent person could ever think of hurting a close friend or relative.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_107,numeric,I can so completely wander off into my own thoughts while doing a routine task that I actually forget that I am doing the task and then find a few minutes later that I have finished it.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_108,numeric,Sometimes I'm a bit lazy.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_109,numeric,Every day interesting and exciting things happen to me.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_110,numeric,I am quite good at convincing others to see things my way.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_111,numeric,I push myself to my limits.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_112,numeric,I am happiest when I am with people most of the time.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_113,numeric,I am often troubled by guilt feelings.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_114,numeric,I know that people have spread false rumors about me on purpose.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_115,numeric,"I like to watch a good, vicious fight.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_116,numeric,Before I get into a new situation I like to find out what to expect from it.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_117,numeric,I perform for an audience whenever I can.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_118,numeric,I am not at all sorry to see many of the traditional values change.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_119,numeric,"I can sometimes recall certain past experiences in my life so clearly and vividly that it is like living them again, or almost so.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_120,numeric,Never in my whole life have I taken advantage of anyone.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_121,numeric,In my spare time I usually find something interesting to do.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_122,numeric,In social situations I usually allow others to dominate the conversation.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_123,numeric,I like to try difficult things.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_124,numeric,"I prefer not to ""open up"" too much, not even to friends.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_125,numeric,"My mood sometimes changes from happy to sad, or sad to happy, without good reason.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_126,numeric,I have often been lied to.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_127,numeric,Sometimes I just like to hit someone.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_128,numeric,I am a cautious person.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_129,numeric,Of these two situations I would dislike more:,NA,Being in a flood  ,Carrying a ton of bricks from the backyard into the basement ,NA,NA,NA,NA,NA,NA,NA,NA
mps_130,numeric,At times I somehow feel the presence of someone who is not physically there.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_131,numeric,I have sometimes felt slightly hesitant about helping someone who asked me to.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_132,numeric,My feelings are hurt rather easily.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_133,numeric,For me life is a great adventure.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_134,numeric,I do not like to organize other people's activities.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_135,numeric,I find it really hard to give up on a project when it proves too difficult.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_136,numeric,I often prefer not to have people around me.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_137,numeric,I often lose sleep over my worries.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_138,numeric,When people are friendly they usually want something from me.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_139,numeric,"When people insult me, I try to get even.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_140,numeric,I usually make up my mind through careful reasoning.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_141,numeric,Of these two situations I would dislike more:,NA,Being seasick every day for a week while on an ocean voyage,Having to stand on the window ledge of the 25th floor of a hotel because there's a fire in my room  ,NA,NA,NA,NA,NA,NA,NA,NA
mps_142,numeric,People should obey moral laws more strictly than they do.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_143,numeric,I have never felt that I was better than someone else.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_144,numeric,I always seem to have something exciting to look forward to.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_145,numeric,I don't enjoy trying to convince people of something.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_146,numeric,I like hard work.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_147,numeric,Never in my whole life have I wished for anything that I was not entitled to.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_148,numeric,I am rather aloof and maintain distance between myself and others.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_149,numeric,"There are days when I'm ""on edge"" all of the time.",NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_150,numeric,I have had a lot of bad luck.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_151,numeric,Sometimes I seem to enjoy hurting people by saying mean things.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_152,numeric,I generally do not like to have detailed plans.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_153,numeric,It might be fun learning to walk a tightrope.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_154,numeric,High moral standards are the most important thing parents can teach their children.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
mps_155,numeric,Sometimes I am so immersed in nature or in art that I feel as if my whole state of consciousness has somehow been temporarily changed.,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem_age,numeric,age scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem_sex,character,sex scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem_race,character,race scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem_hispanic,character,hispanic scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem_educ,character,education scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem_employ_type,character,employment type scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem_employed,character,employed scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem_income,numeric,income scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem_marital,character,marital status scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem2_liveparents,numeric,liveparents scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem2_deadparents,numeric,deadparents scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem2_livekids,numeric,livekids scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_dem2_deadkids,numeric,deadkids scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_auh_age_first,numeric,age first drink scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_auh_age_regular,numeric,age regular drinking scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_auh_age_problem,numeric,age drinking problems scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_auh_age_firstquit,numeric,age first quit scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_auh_times_quit,numeric,quit attempts scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_auh_program_longres,character,longterm residental treatment scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_auh_program_shortres,character,shortterm residental treatment scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scale_auh_program_outpatient,character,outpatient treatment scale score,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
